# XRF Raw Data File
# Sample: ME050.2023 Pottery Fragment
# Instrument: Bruker EDS XRF Spectrometer Model S1 TITAN
# Date: 2023-08-15
# Time: 14:32:17
# Operator: Dr. Sarah Mitchell
# Analysis Duration: 180 seconds
# Voltage: 40 kV
# Current: 35 µA
# Dead Time: 12.3%
# Live Time: 157.86 s
# Filter: Al 200µm
# Atmosphere: Helium
# Sample Preparation: Cleaned, dried, ground to 200 mesh
# Measurement Points: 3 (averaged)

[INSTRUMENT_SETTINGS]
TUBE_VOLTAGE=40000
TUBE_CURRENT=35
FILTER=AL_200
DETECTOR_TYPE=SDD
COLLIMATOR=3MM
ATMOSPHERE=HE
MEASUREMENT_TIME=180
DEAD_TIME_CORRECTION=ON

[SAMPLE_INFO]
SAMPLE_ID=ME050.2023.001
SAMPLE_TYPE=POTTERY_SHERD
PREPARATION_DATE=2023-08-14
ANALYSIS_DATE=2023-08-15
THICKNESS=3.2MM
SURFACE_CONDITION=POLISHED

[CALIBRATION_DATA]
CALIBRATION_FILE=POTTERY_CERAMICS_V2.1
LAST_CALIBRATION=2023-07-22
REFERENCE_STANDARDS=NIST_SRM_679,NIST_SRM_97B,NIST_SRM_1633C
COUNTING_STATISTICS=PRIMARY_SOURCE
CALIBRATION_UNCERTAINTY=2.1%
MATRIX_CORRECTION_UNCERTAINTY=1.8%
PEAK_FITTING_UNCERTAINTY=1.2%
COMBINED_UNCERTAINTY_K=2

[REFERENCE_MATERIALS]
PRIMARY_STANDARD=NIST_SRM_679_BRICK_CLAY
SECONDARY_STANDARD=NIST_SRM_97B_FLINT_CLAY
TERTIARY_STANDARD=NIST_SRM_1633C_COAL_FLY_ASH
QUALITY_CHECK=BCR_CRM_667_ESTUARINE_SEDIMENT

[ANALYTICAL_NOTES]
SAMPLE_HOMOGENEITY=GOOD
SURFACE_CONTAMINATION=NONE_DETECTED
WEATHERING_ALTERATION=MINIMAL
ANALYTICAL_PRECISION=EXCELLENT
SAMPLE_REPRESENTATIVITY=GOOD

[DATA_PROCESSING]
SOFTWARE_VERSION=BRUKER_SPECTRA_V7.8.4
PROCESSING_DATE=2023-08-15
PROCESSING_TIME=15:45:23
OPERATOR_ID=SM_001
REVIEW_STATUS=APPROVED
REVIEW_DATE=2023-08-16
REVIEWER_ID=JD_003

[INTERPRETATION_FLAGS]
TEMPER_IDENTIFICATION=QUARTZ_SAND
CLAY_SOURCE_INDICATORS=LOCAL_CLAYS
FIRING_TEMPERATURE_ESTIMATE=850-950°C
REDUCING_CONDITIONS=PARTIAL
POST_DEPOSITIONAL_ALTERATION=MINIMAL

[FILE_METADATA]
FILE_FORMAT=ASCII_TEXT
ENCODING=UTF-8
LINE_ENDINGS=UNIX
FILE_SIZE=47.2KB
CHECKSUM_MD5=a1b2c3d4e5f6g7h8i9j0k1l2m3n4o5p6
CREATION_TIME=2023-08-15T15:47:32Z
MODIFICATION_TIME=2023-08-15T15:47:32Z

[END_OF_DATA]
TOTAL_LINES=498
DATA_INTEGRITY_CHECK=PASSED
EXPORT_COMPLETE=TRUE
TIMESTAMP=2023-08-15T15:47:35Z
